scaled_distance,y,y0,y-y0,y-y0/y0
0.487,44.6000,44.8000,-0.200,-0.004464
0.789,24.0000,23.6300,0.370,0.015658
1.710,19.3000,19.2800,0.020,0.001037
2.342,29.2400,25.8040,3.436,0.133158
2.970,27.2000,24.0800,3.120,0.129568
2.970,28.4000,24.0800,4.320,0.179402
3.113,20.6800,23.2220,-2.542,-0.109465
3.113,20.0600,23.2220,-3.162,-0.136164
3.113,21.2400,23.2220,-1.982,-0.085350
3.460,23.9000,21.3080,2.592,0.121644
3.460,21.3000,21.3080,-0.008,-0.000375
4.140,14.3000,17.9680,-3.668,-0.204141
4.198,21.8300,17.7476,4.082,0.230025
4.198,18.4900,17.7476,0.742,0.041831
4.356,18.9700,17.1472,1.823,0.106303
4.530,15.2000,16.5100,-1.310,-0.079346
4.746,14.4700,15.8620,-1.392,-0.087757
4.746,16.1700,15.8620,0.308,0.019417
4.990,14.7200,15.1300,-0.410,-0.027098
5.024,13.3200,15.0376,-1.718,-0.114220
5.550,13.4000,13.7000,-0.300,-0.021898
5.550,11.3000,13.7000,-2.400,-0.175182
5.574,15.3000,13.6520,1.648,0.120715
5.574,12.0100,13.6520,-1.642,-0.120275
5.769,13.2600,13.2620,-0.002,-0.000151
5.769,12.1900,13.2620,-1.072,-0.080832
5.769,12.1300,13.2620,-1.132,-0.085357
5.769,13.8100,13.2620,0.548,0.041321
5.841,12.2500,13.1180,-0.868,-0.066169
6.109,12.3100,12.6038,-0.294,-0.023310
6.130,10.3000,12.5660,-2.266,-0.180328
6.720,11.2000,11.5480,-0.348,-0.030135
6.843,11.9300,11.3512,0.579,0.050990
6.893,12.5300,11.2712,1.259,0.111683
7.394,10.4700,10.5484,-0.078,-0.007432
7.394,10.2700,10.5484,-0.278,-0.026393
7.459,10.2100,10.4574,-0.247,-0.023658
7.459,11.5800,10.4574,1.123,0.107350
7.761,9.5810,10.1129,-0.532,-0.052596
7.800,9.0100,10.0700,-1.060,-0.105263
7.800,10.5000,10.0700,0.430,0.042701
7.800,10.0000,10.0700,-0.070,-0.006951
8.282,10.3600,9.5680,0.792,0.082776
8.282,9.1320,9.5680,-0.436,-0.045569
8.282,9.0520,9.5680,-0.516,-0.053930
8.282,10.9200,9.5680,1.352,0.141304
8.282,9.6290,9.5680,0.061,0.006375
8.282,9.1480,9.5680,-0.420,-0.043896
8.282,9.0460,9.5680,-0.522,-0.054557
8.762,8.6980,9.1142,-0.416,-0.045665
9.350,8.1400,8.5850,-0.445,-0.051835
9.350,8.8500,8.5850,0.265,0.030868
9.493,9.2300,8.4563,0.774,0.091494
9.513,8.8210,8.4409,0.380,0.045031
11.170,7.1360,7.0240,0.112,0.015945
11.170,7.4070,7.0240,0.383,0.054527
11.170,6.8870,7.0240,-0.137,-0.019505
11.170,6.6070,7.0240,-0.417,-0.059368
11.170,6.8650,7.0240,-0.159,-0.022637
14.070,5.8430,5.9755,-0.133,-0.022174
14.100,5.4200,5.9650,-0.545,-0.091366
17.020,4.9570,4.9954,-0.038,-0.007687
17.560,4.0370,4.8712,-0.834,-0.171251
17.560,4.9390,4.8712,0.068,0.013919
17.560,5.0890,4.8712,0.218,0.044712
17.560,4.8750,4.8712,0.004,0.000780
17.560,4.8980,4.8712,0.027,0.005502
17.560,4.8660,4.8712,-0.005,-0.001067
17.560,4.8470,4.8712,-0.024,-0.004968
17.560,5.6310,4.8712,0.760,0.155978
20.340,4.9530,4.2354,0.718,0.169429
35.130,2.4390,2.5027,-0.064,-0.025453
35.130,2.3980,2.5027,-0.105,-0.041835
35.130,2.4870,2.5027,-0.016,-0.006273
35.620,2.5540,2.4753,0.079,0.031794
42.490,2.2050,2.0955,0.110,0.052255
42.490,2.1560,2.0955,0.061,0.028871
42.490,2.1710,2.0955,0.075,0.036030
46.730,1.8330,1.9143,-0.081,-0.042470
46.730,1.9270,1.9143,0.013,0.006634
58.550,1.3520,1.5306,-0.179,-0.116686
58.550,1.3010,1.5306,-0.230,-0.150007
81.360,1.1220,1.1037,0.018,0.016581
81.360,1.1800,1.1037,0.076,0.069131
81.360,1.0730,1.1037,-0.031,-0.027816
99.000,0.9500,0.8140,0.136,0.167076
116.800,0.7052,0.7574,-0.052,-0.068920
166.900,0.4639,0.5077,-0.044,-0.086271
166.900,0.5144,0.5077,0.007,0.013197
199.900,0.4209,0.4250,-0.004,-0.009647
199.900,0.4336,0.4250,0.009,0.020235
250.400,0.2918,0.3221,-0.030,-0.094070
316.400,0.3399,0.2526,0.087,0.345606
428.400,0.1849,0.1879,-0.003,-0.015966