scaled_distance,overpressure,reference
0.164556539,6820.682809,"(Kingery, 1966)"
0.206795562,5488.952778,"(Kingery, 1966)"
0.24931797,4531.087903,"(Kingery, 1966)"
0.291368845,3837.075295,"(Kingery, 1966)"
0.333523002,3290.969303,"(Kingery, 1966)"
0.370092898,2858.508766,"(Kingery, 1966)"
0.410648833,2515.057272,"(Kingery, 1966)"
0.495174544,1997.482166,"(Kingery, 1966)"
0.578792895,1627.431744,"(Kingery, 1966)"
0.66264545,1342.914401,"(Kingery, 1966)"
0.743031594,1136.873673,"(Kingery, 1966)"
0.833121274,974.9194648,"(Kingery, 1966)"
0.99444421,744.8903059,"(Kingery, 1966)"
1.162641367,576.4233687,"(Kingery, 1966)"
1.331232874,463.555587,"(Kingery, 1966)"
1.492898658,382.4550416,"(Kingery, 1966)"
1.65707006,311.4819019,"(Kingery, 1966)"
2.151258395,179.3849175,"(Kingery, 1966)"
2.489817557,131.8351075,"(Kingery, 1966)"
2.882324935,92.02495521,"(Kingery, 1966)"
3.30161948,67.62655717,"(Kingery, 1966)"
3.742354117,51.65036733,"(Kingery, 1966)"
4.111875016,40.46824695,"(Kingery, 1966)"
4.910924665,27.18387934,"(Kingery, 1966)"
5.743535635,19.47174025,"(Kingery, 1966)"
6.578672738,14.49469512,"(Kingery, 1966)"
7.455569004,11.50649843,"(Kingery, 1966)"
8.190312444,9.370486112,"(Kingery, 1966)"
9.983434839,6.71412482,"(Kingery, 1966)"
11.5532641,5.06313924,"(Kingery, 1966)"
13.09172817,4.124195808,"(Kingery, 1966)"
14.83334248,3.44702148,"(Kingery, 1966)"
16.80664662,2.881036119,"(Kingery, 1966)"
21.57571308,2.012603064,"(Kingery, 1966)"
24.95680226,1.682402173,"(Kingery, 1966)"
28.86773552,1.406376211,"(Kingery, 1966)"
33.0480341,1.175546232,"(Kingery, 1966)"
37.05283624,1.021148491,"(Kingery, 1966)"
41.11557957,0.886961148,"(Kingery, 1966)"
49.58432059,0.686521781,"(Kingery, 1966)"
57.95409534,0.566587314,"(Kingery, 1966)"
66.35018833,0.467533134,"(Kingery, 1966)"
74.39919223,0.39580044,"(Kingery, 1966)"
82.55208813,0.348244787,"(Kingery, 1966)"
99.561431,0.266098051,"(Kingery, 1966)"
0.192122262,7189.535013,"(Goodman, 1960)"
0.239022331,5424.574597,"(Goodman, 1960)"
0.288221381,4308.248221,"(Goodman, 1960)"
0.336872809,3555.602833,"(Goodman, 1960)"
0.385632612,3010.537904,"(Goodman, 1960)"
0.427916185,2614.928368,"(Goodman, 1960)"
0.479771605,2271.480341,"(Goodman, 1960)"
0.578525168,1804.031074,"(Goodman, 1960)"
0.774140967,1228.576173,"(Goodman, 1960)"
0.953433563,880.3651996,"(Goodman, 1960)"
1.149949106,664.0905232,"(Goodman, 1960)"
1.344447871,513.8975411,"(Goodman, 1960)"
1.523654432,407.9534755,"(Goodman, 1960)"
1.709182181,315.5919657,"(Goodman, 1960)"
1.916524683,267.171308,"(Goodman, 1960)"
2.386447881,166.1746955,"(Goodman, 1960)"
2.850364742,110.1968753,"(Goodman, 1960)"
3.334008623,76.92673603,"(Goodman, 1960)"
3.819230894,55.80798158,"(Goodman, 1960)"
4.284775041,42.07521162,"(Goodman, 1960)"
4.756514248,33.39592129,"(Goodman, 1960)"
5.681820622,21.58303472,"(Goodman, 1960)"
6.713814187,15.66145064,"(Goodman, 1960)"
7.610484325,11.80851997,"(Goodman, 1960)"
9.475992672,7.439833168,"(Goodman, 1960)"
11.55059175,5.330776647,"(Goodman, 1960)"
13.64537786,4.072682724,"(Goodman, 1960)"
19.24262048,2.346937895,"(Goodman, 1960)"
23.94004712,1.770787633,"(Goodman, 1960)"
33.75033325,1.088305361,"(Goodman, 1960)"
42.84692441,0.910382415,"(Goodman, 1960)"
47.54497384,0.790750649,"(Goodman, 1960)"
57.32805573,0.636161295,"(Goodman, 1960)"
2.021024395,196.2156162,"(Reisler et al, 1976, 1977)"
2.541258202,138.8253161,"(Reisler et al, 1976, 1977)"
3.035445176,90.8825294,"(Reisler et al, 1976, 1977)"
3.550493114,63.44368959,"(Reisler et al, 1976, 1977)"
3.983509913,47.21997699,"(Reisler et al, 1976, 1977)"
4.515531545,35.60321799,"(Reisler et al, 1976, 1977)"
5.012676261,28.25897292,"(Reisler et al, 1976, 1977)"
6.047954859,19.73171646,"(Reisler et al, 1976, 1977)"
7.001384919,13.77334427,"(Reisler et al, 1976, 1977)"
8.017564281,10.79479343,"(Reisler et al, 1976, 1977)"
8.993302699,8.459063613,"(Reisler et al, 1976, 1977)"
9.982280155,6.889293998,"(Reisler et al, 1976, 1977)"
12.04463809,4.748873023,"(Reisler et al, 1976, 1977)"
14.08020147,3.770727272,"(Reisler et al, 1976, 1977)"
16.12006907,3.111506198,"(Reisler et al, 1976, 1977)"
18.26771776,2.502058283,"(Reisler et al, 1976, 1977)"
20.05987172,2.229795002,"(Reisler et al, 1976, 1977)"
30.4118523,1.28564297,"(Reisler et al, 1976, 1977)"
35.54739281,1.047466764,"(Reisler et al, 1976, 1977)"
40.27399218,0.886824369,"(Reisler et al, 1976, 1977)"
66.35018833,0.467533134,"(Reisler et al, 1976, 1977)"
0.146847098,6992.698167,"(Swisdak, 1975)"
0.188353071,5925.759442,"(Swisdak, 1975)"
0.231815084,4955.832758,"(Swisdak, 1975)"
0.294363357,3937.486866,"(Swisdak, 1975)"
0.381687558,2971.788904,"(Swisdak, 1975)"
0.543502111,1973.293372,"(Swisdak, 1975)"
0.676179534,1488.86918,"(Swisdak, 1975)"
0.877329155,975.2954231,"(Swisdak, 1975)"
1.025539895,784.4466354,"(Swisdak, 1975)"
1.330847981,494.3847765,"(Swisdak, 1975)"
1.492725989,392.4331604,"(Swisdak, 1975)"
1.709775371,292.1258677,"(Swisdak, 1975)"
1.897467079,247.2864982,"(Swisdak, 1975)"
2.106371772,196.2761472,"(Swisdak, 1975)"
2.437725814,146.1185422,"(Swisdak, 1975)"
2.911442537,98.15272764,"(Swisdak, 1975)"
3.231795579,78.91546989,"(Swisdak, 1975)"
3.625734453,59.4965989,"(Swisdak, 1975)"
3.860938045,49.70452407,"(Swisdak, 1975)"
4.286014235,39.45145633,"(Swisdak, 1975)"
4.960248556,29.36979032,"(Swisdak, 1975)"
5.392398929,24.53983303,"(Swisdak, 1975)"
5.924502985,19.47624523,"(Swisdak, 1975)"
6.785953592,14.49804862,"(Swisdak, 1975)"
8.187944419,9.993678885,"(Swisdak, 1975)"
9.184418118,7.831290704,"(Swisdak, 1975)"
10.73908371,5.906052386,"(Swisdak, 1975)"
11.91935223,4.872393737,"(Swisdak, 1975)"
13.64774554,3.918344504,"(Swisdak, 1975)"
16.46073033,2.955745471,"(Swisdak, 1975)"
18.65160724,2.438816318,"(Swisdak, 1975)"
22.25680791,1.987311485,"(Swisdak, 1975)"
27.40677366,1.480146431,"(Swisdak, 1975)"
38.22471827,0.99541472,"(Swisdak, 1975)"
45.14661135,0.800690667,"(Swisdak, 1975)"
57.94069017,0.596537105,"(Swisdak, 1975)"
66.33100483,0.498626854,"(Swisdak, 1975)"
0.136601168,6899.501387,"(Defense Atomic Support Agency, 1973)"
0.177032343,5847.233401,"(Defense Atomic Support Agency, 1973)"
0.257158609,4590.876483,"(Defense Atomic Support Agency, 1973)"
0.381555135,3210.508913,"(Defense Atomic Support Agency, 1973)"
0.51045167,2301.985427,"(Defense Atomic Support Agency, 1973)"
0.758119816,1293.319203,"(Defense Atomic Support Agency, 1973)"
1.276037917,576.8235456,"(Defense Atomic Support Agency, 1973)"
1.781257517,319.7809204,"(Defense Atomic Support Agency, 1973)"
2.539788932,157.9047556,"(Defense Atomic Support Agency, 1973)"
3.819672678,54.38899172,"(Defense Atomic Support Agency, 1973)"
5.066537073,26.15977107,"(Defense Atomic Support Agency, 1973)"
7.613565928,10.79063224,"(Defense Atomic Support Agency, 1973)"
12.5627218,4.018093264,"(Defense Atomic Support Agency, 1973)"
17.89172954,2.566940203,"(Defense Atomic Support Agency, 1973)"
25.47831326,1.682661657,"(Defense Atomic Support Agency, 1973)"
51.14070799,0.704595873,"(Defense Atomic Support Agency, 1973)"