scaled-distance_english,scaled_ppd_english,scaled-distance_metric,scaled_ppd_metric
1.49,0.34,0.591079779,0.442510712
1.72,0.44,0.682320282,0.572660921
2.26,1.24,0.896537115,1.613862597
2.26,1.26,0.896537115,1.639892639
3.16,1.81,1.253565169,2.35571879
3.16,2.03,1.253565169,2.642049251
3.16,2.14,1.253565169,2.785214481
4.75,1.62,1.884314732,2.108433393
4.75,1.71,1.884314732,2.225568581
4.75,1.81,1.884314732,2.35571879
4.75,1.81,1.884314732,2.35571879
4.75,1.99,1.884314732,2.589989167
6.01,1.85,2.384154008,2.407778874
6.01,1.94,2.384154008,2.524914063
7.46,2.26,2.959365874,2.941394733
7.46,2.35,2.959365874,3.058529921
7.46,2.44,2.959365874,3.17566511
7.46,2.44,2.959365874,3.17566511
9.49,2.71,3.764662485,3.527070675
20.34,3.93,8.068834031,5.11490323
35.62,4.5,14.130377,5.856759424
42.49,4.28,16.85569115,5.570428963
42.49,4.28,16.85569115,5.570428963
42.49,4.36,16.85569115,5.67454913
81.36,5.19,32.27533612,6.754795869
81.36,5.19,32.27533612,6.754795869
81.36,5.42,32.27533612,7.05414135
81.36,5.42,32.27533612,7.05414135
153.7,5.64,60.97245775,7.340471811
153.7,6.32,60.97245775,8.225493235
316.4,8.15,125.515196,10.60724207
316.4,6.32,125.515196,8.225493235