x_ft,total,hardening,land_perimeter,frame,window_wall,progressive_collapse,other
3.489,86.803,76.449,nan,51.4,20.905,14.043,3.449
4.48,84.489,74.513,nan,49.318,20.851,13.999,3.436
6.131,79.951,71.1,nan,45.824,20.764,13.928,3.413
6.461,79.003,70.409,1.437,45.119,20.747,13.913,3.407
8.773,73.099,65.751,1.55,40.348,20.641,13.822,3.357
9.434,71.756,64.534,1.581,39.129,20.617,13.799,3.336
9.764,71.132,63.95,1.596,38.553,20.606,13.788,3.324
12.406,66.818,59.853,1.703,34.609,20.564,13.719,3.177
12.737,66.331,59.403,1.714,34.179,20.566,13.714,3.15
13.397,65.384,58.538,1.492,33.35,20.575,13.705,3.089
14.058,64.471,57.714,1.615,32.557,20.591,13.698,3.021
14.718,63.594,56.927,1.723,31.798,20.612,13.694,2.947
17.03,60.822,54.418,2.074,29.402,20.711,13.694,2.699
18.682,59.139,52.828,2.316,27.93,20.782,13.702,2.594
19.673,58.242,51.945,2.46,27.133,20.817,13.708,2.579
20.994,57.162,50.841,2.65,26.152,20.851,13.714,2.619
22.645,55.968,49.569,2.886,25.012,20.876,13.718,2.728
24.957,54.531,47.974,3.212,23.498,20.888,13.717,2.928
25.948,53.989,47.355,3.351,22.85,20.887,13.716,3.013
27.929,53.034,46.205,3.626,21.518,20.879,13.714,3.15
29.251,52.496,45.485,3.808,20.851,20.871,13.714,3.203
29.911,52.257,45.133,3.898,20.561,20.867,13.715,3.217
31.563,51.751,44.263,4.12,19.885,20.855,13.718,3.225
32.223,51.583,43.915,4.207,19.627,20.851,13.72,3.22
32.884,51.433,43.568,4.292,19.376,20.848,13.721,3.211
36.186,50.939,41.927,5.065,18.211,20.842,13.72,3.15
36.847,50.885,41.631,5.206,17.996,20.843,13.718,3.142
37.508,50.845,41.35,5.345,17.789,20.844,13.714,3.136
37.838,50.829,41.215,5.415,17.688,20.845,13.712,3.134
38.829,50.801,40.837,5.619,17.392,20.848,13.704,3.13
40.48,50.804,40.293,5.945,16.917,20.851,13.689,3.132
40.81,50.811,40.195,6.005,16.823,20.852,13.686,3.133
44.443,50.993,39.302,7.123,15.712,20.853,13.682,3.15
45.765,51.09,39.032,7.516,15.202,20.852,13.714,3.154
46.095,51.115,38.967,7.613,15.068,20.852,13.731,3.155
46.755,51.166,38.838,7.808,14.809,20.851,13.783,3.155
48.407,51.303,38.527,8.289,14.288,20.851,13.971,3.155
48.737,51.332,38.467,8.383,14.213,20.851,13.988,3.155
49.398,51.394,38.351,8.596,14.09,20.852,13.999,3.155
50.058,51.459,38.241,8.799,13.999,20.853,13.992,3.154
52.7,51.774,37.872,9.604,13.833,20.856,13.9,3.15
54.021,51.971,37.744,10,13.806,20.857,13.844,3.149
54.682,52.082,37.696,10.196,13.798,20.856,13.817,3.149
56.003,52.324,37.635,10.573,13.785,20.854,13.766,3.149
56.664,52.455,37.619,10.841,13.776,20.851,13.743,3.149
57.655,52.662,37.61,11.234,13.75,20.847,13.714,3.149
58.315,52.808,37.612,11.494,13.714,20.843,13.699,3.149
60.957,53.434,37.655,12.54,13.174,20.831,13.675,3.15
61.618,53.6,37.67,12.804,13.143,20.831,13.676,3.15
61.948,53.684,37.677,12.936,13.147,20.831,13.678,3.15
62.939,53.942,37.696,13.336,13.196,20.834,13.685,3.151
64.921,54.483,37.717,14.152,13.353,20.851,13.705,3.151
65.912,54.772,37.719,14.571,13.44,20.867,13.714,3.151
66.572,54.972,37.719,14.856,13.497,20.878,13.718,3.15
69.214,55.849,37.707,16.069,13.695,20.921,13.724,3.15
69.545,55.968,37.705,16.231,13.714,20.924,13.724,3.15
71.196,56.596,37.696,17.08,13.776,20.926,13.721,3.15
73.178,57.404,37.69,18.188,13.791,20.851,13.716,3.15
73.838,57.683,37.69,18.567,13.785,20.772,13.715,3.15
74.168,57.823,37.689,18.756,13.78,20.713,13.714,3.15
76.811,58.966,37.691,20.237,13.73,20.28,13.711,3.15
77.141,59.109,37.692,20.421,13.724,20.284,13.711,3.15
77.471,59.252,37.692,20.604,13.719,20.295,13.711,3.15
77.802,59.395,37.693,20.787,13.714,20.31,13.711,3.15
79.453,60.106,37.696,21.708,13.698,20.423,13.711,3.15
82.425,61.386,37.7,23.391,13.693,20.67,13.714,3.15
84.407,62.249,37.701,24.536,13.699,20.814,13.716,3.15
85.068,62.541,37.701,24.922,13.702,20.851,13.717,3.15
85.728,62.834,37.7,25.312,13.705,20.882,13.717,3.15
86.389,63.131,37.699,25.705,13.708,20.905,13.716,3.15
87.71,63.734,37.696,26.503,13.714,20.93,13.714,3.15
91.673,65.676,37.684,29.032,13.721,20.887,13.706,3.15
92.664,66.203,37.683,29.702,13.721,20.865,13.705,3.15
93.325,66.564,37.684,30.157,13.72,20.851,13.706,3.15
93.985,66.933,37.685,30.619,13.719,20.84,13.707,3.15
95.967,68.079,37.696,32.041,13.714,20.819,13.714,3.15
98.609,69.673,37.736,34.017,13.707,20.818,13.732,3.15
98.939,69.875,37.744,34.27,13.706,20.82,13.734,3.15
101.582,71.525,37.833,36.352,13.705,20.851,13.745,3.15
102.242,71.95,37.864,36.889,13.706,20.863,13.743,3.15
104.224,73.266,37.982,38.552,13.714,20.9,13.714,3.15
104.884,73.723,38.029,39.124,13.718,20.91,13.691,3.15
105.215,73.955,38.054,39.413,13.721,20.914,13.677,3.15
109.839,77.471,38.254,43.647,13.744,20.851,13.428,3.15
110.499,77.996,38.227,44.263,13.741,20.813,13.413,3.15
111.16,78.523,38.176,44.878,13.736,20.764,13.404,3.15
112.481,79.576,37.982,46.114,13.714,20.627,13.398,3.15
116.114,82.534,36.678,49.687,13.588,19.883,13.417,3.15
117.105,83.377,36.162,50.751,13.547,19.551,13.424,3.15
117.435,83.663,35.98,51.116,13.534,19.424,13.426,3.15
117.765,83.952,35.795,51.487,13.52,19.289,13.428,3.15
118.756,84.835,35.225,52.625,13.484,18.836,13.433,3.15
119.417,85.434,34.841,53.403,13.462,18.502,13.435,3.15
120.738,86.654,34.09,54.995,13.428,17.787,13.437,3.15
121.068,86.963,33.907,55.397,13.422,17.604,13.437,3.15
122.719,88.516,33.032,57.424,13.402,16.698,13.435,3.15
124.701,90.377,32.092,59.877,13.398,15.712,13.431,3.15
125.692,91.295,31.674,61.107,13.402,15.28,13.429,3.15
126.022,91.597,31.542,61.518,13.404,15.144,13.428,3.15
126.352,91.898,31.415,61.928,13.406,15.011,13.428,3.15
127.013,92.493,31.172,62.748,13.411,14.755,13.427,3.15
128.995,94.219,30.523,65.198,13.428,14.052,13.426,3.15
133.949,98.024,29.21,71.184,13.428,12.572,13.428,3.15
134.279,98.249,29.131,71.573,13.428,12.483,13.428,3.15
135.27,98.901,28.897,72.731,13.427,12.224,13.429,3.15
141.876,102.438,27.704,80.082,13.428,10.859,13.428,3.15
142.206,102.581,27.671,80.433,13.428,10.81,13.428,3.15
142.536,102.72,27.641,80.781,13.428,10.763,13.428,3.15
143.527,103.121,27.566,81.818,13.429,10.632,13.428,3.15
149.802,105.108,27.419,88.068,13.429,10.002,13.428,3.15
150.133,105.189,27.418,88.383,13.428,9.973,13.428,3.15
150.463,105.268,27.417,88.696,13.428,9.944,13.428,3.15
150.793,105.344,27.416,89.009,13.428,9.915,13.428,3.15
151.784,105.562,27.412,89.938,13.428,9.826,13.428,3.15